offline_spend,online_spend,total_spend,revenue,roi
96600,58328.95,154928.95,403624.58,2.61
81300,55807.92,137107.91999999998,310819.8,2.27
73500,48750.09,122250.09,349608.08999999997,2.86
96000,61026.83,157026.83000000002,401618.42,2.56
65500,52759.64,118259.64,307763.42,2.6
80500,53818.14,134318.14,321081.38,2.39
67500,52717.85,120217.85,372638.07,3.1
85500,57404.15,142904.15,401210.37,2.81
83000,52514.54,135514.54,360548.4,2.66
93500,57724.65,151224.65,409681.28,2.71
93000,68144.96,161144.96000000002,508942.62,3.16
122000,76648.75,198648.75,523258.18999999994,2.63
