1,2,3,4,5,6,7,8,9,10,11
0.06,0.11,0.16,0.11,0.2,0.16,0.22,0.11,0.13,0.09,0.16
0.07,0.09,0.17,0.18,0.23,0.2,0.16,0.12,0.11,0.17,0.0
0.1,0.2,0.14,0.18,0.19,0.12,0.12,0.08,0.11,0.0,0.0
0.09,0.15,0.15,0.11,0.09,0.06,0.1,0.07,0.0,0.0,0.0
0.11,0.08,0.12,0.09,0.12,0.12,0.07,0.0,0.0,0.0,0.0
0.15,0.16,0.09,0.08,0.1,0.08,0.0,0.0,0.0,0.0,0.0
0.14,0.04,0.06,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.11,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
